month domestic_18 domestic_19 var_18_19 inter_18 inter_19 var_18_19 total_18 total_19 var_18_19
January 5794 4950 17.1 7854 7521 4.4 13648 12471 9.4
February 5199 4549 14.3 7007 6593 6.3 12206 11142 9.5
March 5868 5283 11.1 8481 8492 -0.1 14349 13775 4.2
April 7062 6524 8.2 10449 9919 5.3 17511 16443 6.5
May 8342 7841 6.4 11644 11208 3.9 19986 19049 4.9
June 10228 9432 8.4 13041 12612 3.4 23269 22044 5.6
July 11421 10929 4.5 15278 14679 4.1 26699 25608 4.3
August 11347 11112 2.1 15297 14940 2.4 26644 26052 2.3
September 9768 9516 2.6 13016 12568 3.6 22784 22084 3.2
October 7917 8080 -2.0 11652 11133 4.7 19569 19213 1.9
November 5713 6197 -7.8 8705 8474 2.7 14418 14671 -1.7
December 5544 6117 -9.4 9001 8425 6.8 14545 14542 0.0
Total 94203 90530 4.1 131425 126564 3.8 225628 217094 3.9
