month domestic_05 domestic_04 inter_05 inter_04 total_05 total_04
January 336011 314522 566832 489070 902843 803592
February 312783 303243 477661 438424 790444 741667
March 394100 417029 657422 574277 1051522 991306
April 416544 437175 746946 728238 1163490 1165413
May 473422 454534 849000 716090 1322422 1170624
June 482997 476793 875545 778981 1358542 1255774
July 564976 524138 1031373 898751 1596349 1422889
August 574475 527118 1035954 1054565 1610429 1581683
September 482063 491288 941525 910313 1423588 1401601
October 425299 453465 811841 818491 1237140 1271956
November 351790 363447 542377 552595 894167 916042
December 354589 346384 575495 593401 930084 939785
