month domestic_19 domestic_18 var_18_19 inter_18 inter_19 var_18_19 total_18 total_19 var_18_19
January 449834 416827 7.9 943051 867577 8.7 1392885 1284404 8.4
February 443228 400245 10.7 884560 792660 11.6 1327788 1192905 11.3
March 516796 478952 7.9 1135798 1039203 9.3 1652594 1518155 8.9
April 573227 570381 0.5 1413529 1292666 9.3 1986756 1863047 6.6
May 700752 700139 0.1 1584454 1461240 8.4 2285206 2161379 5.7
June 795188 779857 2.0 1817906 1649703 10.2 2613094 2429560 7.6
July 915648 921691 -0.7 2065533 1931510 6.9 2981181 2853201 4.5
August 915133 925164 -1.1 2124732 1963999 8.2 3039865 2889163 5.2
September 810796 828412 -2.1 1878605 1729347 8.6 2689401 2557759 5.1
October 669131 684924 -2.3 1632425 1522218 7.2 2301556 2207142 4.3
November 496990 526343 -5.6 1169664 1097239 6.6 1666654 1623582 2.7
December 464277 497605 -6.7 1172773 1057532 10.9 1637050 1555137 5.3
Total 7751000 7730540 0.3 17823030 16404894 8.6 25574030 24135434 6.0
