,domestic,international,total
2016-01-31,430901,775908,1206809
2016-02-29,440259,685075,1125334
2016-03-31,501473,879036,1380509
2016-04-30,526326,1117161,1643487
2016-05-31,636834,1237244,1874078
2016-06-30,733990,1442131,2176121
2016-07-31,843976,1718569,2562545
2016-08-31,824322,1723526,2547848
2016-09-30,754874,1545356,2300230
2016-10-31,697053,1350655,2047708
2016-11-30,479448,966689,1446137
2016-12-31,452848,972812,1425660
2017-01-31,416827,867577,1284404
2017-02-28,400245,792660,1192905
2017-03-31,478952,1039203,1518155
2017-04-30,570381,1292666,1863047
2017-05-31,700139,1461240,2161379
2017-06-30,779857,1649703,2429560
2017-07-31,921691,1931510,2853201
2017-08-31,925164,1963999,2889163
2017-09-30,828412,1729347,2557759
2017-10-31,684924,1522218,2207142
2017-11-30,526343,1097239,1623582
2017-12-31,497600,1057534,1555134
2018-01-31,416827,943051,1392885
2018-02-28,400245,884560,1327788
2018-03-31,478952,1135798,1652594
2018-04-30,570381,1413529,1986756
2018-05-31,700139,1584454,2285206
2018-06-30,779857,1817906,2613094
2018-07-31,921691,2065533,2981181
2018-08-31,925164,2124732,3039865
2018-09-30,828412,1878605,2689401
2018-10-31,684924,1632425,2301556
2018-11-30,526343,1169664,1666654
2018-12-31,497605,1172773,1637050
2019-01-31,449834,867577,1284404
2019-02-28,443228,792660,1192905
2019-03-31,516796,1039203,1518155
2019-04-30,573227,1292666,1863047
2019-05-31,700752,1461240,2161379
2019-06-30,795188,1649703,2429560
2019-07-31,915648,1931510,2853201
2019-08-31,915133,1963999,2889163
2019-09-30,810796,1729347,2557759
2019-10-31,669131,1522218,2207142
2019-11-30,496990,1097239,1623582
2019-12-31,464277,1057532,1555137
